input_file:  ../data/quantile_df.csv
Getting score for:  saga_wetSM_85_resampled 0.4682661289227091 39
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.45859717736477645 39
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.44205884028404296 39
Results of  3  iteration: 0.4196813503531988 relief_roughness
Staring experiment for:  39
Getting score for:  relief_elev_focalrange300m_3s 0.4726682758029673 38
Getting score for:  Potassium_2016 0.4876237589708943 38
Getting score for:  si_geol1 0.458687876231461 38
Getting score for:  slope_fill2 0.44407817628877216 38
Getting score for:  Clim_Prescott_LindaGregory 0.4588398443296241 38
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.45826598838605875 38
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.45760794329288307 38
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.4648610363566964 38
Getting score for:  clim_EPA_albers 0.45094040075652253 38
Getting score for:  relief_elev_focalrange1000m_3s 0.48166182295718807 38
Getting score for:  Rad2016U_Th 0.45747120639495475 38
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.4730974287284259 38
Getting score for:  tpi_300 0.4618667897180347 38
Getting score for:  clim_RSM_albers 0.45591895753202005 38
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.45698604921051383 38
Getting score for:  3dem_mag0.fin 0.4779883048574985 38
Getting score for:  Rad2016K_Th 0.4537443594334116 38
Getting score for:  clim_PTA_albers 0.4545279258823729 38
Getting score for:  water-85m 0.46161197857311204 38
Getting score for:  ceno_euc_aust1 0.4636548574838597 38
Getting score for:  dem_fill 0.42146293236533494 38
Getting score for:  3dem_mag2 0.48495472144529794 38
Getting score for:  Thorium_2016 0.4475487465086463 38
Getting score for:  mrvbf_9 0.4622977319648045 38
Getting score for:  LOC_distance_to_coast 0.47135456847337787 38
Getting score for:  clim_WDA_albers 0.46679846303784506 38
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.43896295865670076 38
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.4676563485932985 38
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.4837539043633655 38
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.46577633414689523 38
Getting score for:  s2-dpca-85m 0.4562377667343849 38
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.46182677063430533 38
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.4735825481215369 38
Getting score for:  LATITUDE_GRID1_clip 0.4727880796617134 38
Getting score for:  relief_mrvbf_3s_mosaic 0.4597692989222082 38
Getting score for:  Dose_2016 0.4525743680681531 38
Getting score for:  saga_wetSM_85_resampled 0.47185672098915726 38
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.4486776575036523 38
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.46355876430212606 38
Results of  4  iteration: 0.42146293236533494 dem_fill
Staring experiment for:  38
Getting score for:  relief_elev_focalrange300m_3s 0.4530776571012493 37
Getting score for:  Potassium_2016 0.44131084744104837 37
Getting score for:  si_geol1 0.42671518042136664 37
Getting score for:  slope_fill2 0.4472804372566864 37
Getting score for:  Clim_Prescott_LindaGregory 0.4212243366865167 37
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.45409248508667954 37
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.4446206421097759 37
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.432255002341843 37
Getting score for:  clim_EPA_albers 0.42941071658977625 37
Getting score for:  relief_elev_focalrange1000m_3s 0.45100087947732387 37
Getting score for:  Rad2016U_Th 0.4499268969962821 37
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.45293289273265186 37
Getting score for:  tpi_300 0.42720113024793227 37
Getting score for:  clim_RSM_albers 0.44008586350908047 37
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.4216777607738477 37
Getting score for:  3dem_mag0.fin 0.44965555091924386 37
Getting score for:  Rad2016K_Th 0.44013978876381316 37
Getting score for:  clim_PTA_albers 0.42795821001571793 37
Getting score for:  water-85m 0.44168283122148144 37
Getting score for:  ceno_euc_aust1 0.45243206178308853 37
Getting score for:  3dem_mag2 0.4543055506508717 37
Getting score for:  Thorium_2016 0.43517974162824297 37
Getting score for:  mrvbf_9 0.4448329147072178 37
Getting score for:  LOC_distance_to_coast 0.4072305124428799 37
Getting score for:  clim_WDA_albers 0.44645529596706135 37
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.4414575436479588 37
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.4371243657293317 37
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.438116106201979 37
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.4352647329137651 37
Getting score for:  s2-dpca-85m 0.4606662620796939 37
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.4502132646093738 37
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.4434359000571305 37
Getting score for:  LATITUDE_GRID1_clip 0.4416247946382561 37
Getting score for:  relief_mrvbf_3s_mosaic 0.4571763165211417 37
Getting score for:  Dose_2016 0.42718122751785037 37
Getting score for:  saga_wetSM_85_resampled 0.4372440607998011 37
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.4240890596461378 37
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.44674800542545323 37
Results of  5  iteration: 0.4072305124428799 LOC_distance_to_coast
Staring experiment for:  37
Getting score for:  relief_elev_focalrange300m_3s 0.37785264028172755 36
Getting score for:  Potassium_2016 0.436182390524285 36
Getting score for:  si_geol1 0.3463574619681539 36
Getting score for:  slope_fill2 0.3980788468420038 36
Getting score for:  Clim_Prescott_LindaGregory 0.3646266938927796 36
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.42465843913035484 36
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.41965958977554896 36
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.38218419121634273 36
Getting score for:  clim_EPA_albers 0.3977706318809444 36
Getting score for:  relief_elev_focalrange1000m_3s 0.3975507202897727 36
Getting score for:  Rad2016U_Th 0.3911627188890823 36
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.3606032091652455 36
Getting score for:  tpi_300 0.4087705052049463 36
Getting score for:  clim_RSM_albers 0.3951093557728818 36
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.3780825546764427 36
Getting score for:  3dem_mag0.fin 0.38215500106542566 36
Getting score for:  Rad2016K_Th 0.41582990905222167 36
Getting score for:  clim_PTA_albers 0.41491906099082176 36
Getting score for:  water-85m 0.39097839754478414 36
Getting score for:  ceno_euc_aust1 0.39049164713700785 36
Getting score for:  3dem_mag2 0.4078485121618208 36
Getting score for:  Thorium_2016 0.3991806952891547 36
Getting score for:  mrvbf_9 0.4035386796566395 36
Getting score for:  clim_WDA_albers 0.3685109110893436 36
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.3968686758574299 36
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.40886006442919964 36
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.4015452544126771 36
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.4175487425730728 36
Getting score for:  s2-dpca-85m 0.3738263799262091 36
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.43125843419671 36
